rpm,temperature,vibration,voltage,tire_pressure,oil_level,mileage,fault,fault_type,temp_rpm_ratio,power_estimate
2398.111850387599,91.65859424869413,0.16121998976893806,12.404557210201572,29.224493837997127,0.7259067249245057,61371,0,Normal,0.038221150624763243,29.747515644595325
3219.3278510217997,84.34225168544643,0.31728330215692957,12.494789597747271,30.415491814450487,0.7730501181584069,19358,0,Normal,0.026198714635005747,40.224824144685265
2253.093922963301,94.7581950062536,0.3273565316275853,12.448212094097457,31.665727831674328,0.6696650789447971,59034,0,Normal,0.0420569218355648,28.046991020969248
2770.5592908412395,78.82272391190631,0.21195724426117163,12.669144967815951,29.079428187882375,0.8916781505060389,62240,0,Normal,0.02845011264421378,35.10061729759702
3170.9124479014145,85.36261490808378,1.4509079221897832,12.071592899176338,29.232025860483233,0.334613334116012,110856,1,Suspension Issue,0.0269205209259495,38.277964189996574
3237.901736666114,81.87103335511463,0.2718106811455531,12.324731272042374,36.194254424746056,0.9473213728149594,102734,0,Normal,0.025285212465839882,39.90626878968917
3475.357309379234,95.74260819220163,0.198122463998469,12.753065087366636,32.402133980062786,0.7931567573804555,34232,0,Normal,0.027548997029402746,44.321457968368755
3746.309804457903,92.21229346937845,0.26456785966526897,12.531821772916052,30.647897823422827,0.5281068208726151,20396,0,Normal,0.024614166548546222,46.94808677559442
3527.039014243184,87.64510835590751,0.10264647368547655,12.84470440881572,34.01324926319303,0.4399964579667214,62230,0,Normal,0.024849486496171917,45.30377357631448
3836.954910274184,79.38656698023189,0.3813142902177852,12.375968359287047,32.288104463052996,0.7218287714664618,120645,0,Normal,0.02068999215176053,47.486032565564365
2885.825475139968,97.38385123183554,1.3860977190699773,12.015637998010488,30.680923538707724,0.6966806412793445,83901,1,Suspension Issue,0.03374557888921271,34.67503423471847
2544.9257318300733,95.70002308640082,0.3397762666634695,12.537622603842753,29.358716680940386,0.7263817814786233,6555,0,Normal,0.03760424985666764,31.907318380493788
